No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,Primary Category,Secondary Category,Pin Count
1,1,AP2114HA-3.3TRG1,3V3_REG,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,,AP2114HA-3.3TRG1,DIODES(美台),C460314,LCSC,Power Management (PMIC),"Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",4
2,2,10uF,"C1,C10",C0603,10uF,0603X106K160NT,FH(风华),C70225,LCSC,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,2
3,2,1uF,"C2,C8",C0603,1uF,0603B105K160NT,FH(风华),C93816,LCSC,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,2
4,5,100nF,"C3,C6,C9,C11,C13",C0603,100nF,CC0603JRX7R7BB104,YAGEO(国巨),C109474,LCSC,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,2
5,1,470uF,C4,CAP-TH_BD6.3-P2.50-D0.5-FD,470uF,E2471M010C080HY,HYNCDZ(宏远纳川),C22447194,LCSC,,,2
6,1,22uF,C7,C0603,22uF,CL10A226MO7JZNC,SAMSUNG(三星),C2762594,LCSC,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,2
7,1,470uF,C12,CAP-SMD_BD10.0-L10.3-W10.3-FD,470uF,UCW1E471MNL1GS,Nichicon(尼吉康),C340751,LCSC,Capacitors,Aluminum Electrolytic Capacitors - SMD,2
8,1,100uF,C14,CAP-SMD_BD6.3-L6.6-W6.6-FD,100uF,APXK160ARA101MF611,NCC(日本贵弥功),C2162384,LCSC,Capacitors,Polymer Aluminum Capacitors,2
9,2,ESD9B3.3ST5G,"D1,D2",SOD-923_L0.8-W0.6-LS1.0-BI-1,,ESD9B3.3ST5G,onsemi(安森美),C96512,LCSC,Circuit Protection,ESD and Surge Protection (TVS/ESD),2
10,1,TVS,D3,SOD-123FL_L3.0-W1.8-LS3.7-RD,,TVS,Slkor(萨科微),C19188355,LCSC,Circuit Protection,ESD and Surge Protection (TVS/ESD),2
11,1,SS34,D4,SMA_L4.4-W2.6-LS5.0-RD,,SS34,Slkor(萨科微),C408258,LCSC,Diodes,Schottky Diodes,2
12,1,2.4GHz,ESP32,WIFI-SMD_ESP32-WROOM-32E,2.4GHz,ESP32-WROOM-32E-N16,ESPRESSIF(乐鑫),C701343,LCSC,IoT/Communication Modules,WiFi Modules,39
13,1,1812L075/24DR,FUSE,F1812,,1812L075/24DR,Littelfuse(美国力特),C207065,LCSC,Circuit Protection,Resettable Fuses,2
14,1,HX PM2.54-1x14P ZC,GPIO_HDR,HDR-TH_14P-P2.54-V-F,,HX PM2.54-1x14P ZC,hanxia(韩下),C41417326,LCSC,Connectors,Female Headers,14
15,1,FH2.54-09-04PZD,I2C_4PIN,HDR-TH_4P-P2.54-V-F,,FH2.54-09-04PZD,XUNPU(讯普),C7500773,LCSC,Connectors,Female Headers,4
16,1,FH2.54-09-06PZD,I2C_6PIN,HDR-TH_6P-P2.54-V-F,,FH2.54-09-06PZD,XUNPU(讯普),C7500775,LCSC,Connectors,Female Headers,6
17,1,XL-1608VRC-06,LED1,LED0603-RD_PINK,,XL-1608VRC-06,XINGLIGHT(成兴光),C7371906,LCSC,Optoelectronics,LED Indication - Discrete,2
18,1,A2541WV-6P,PRGM_HDR,HDR-TH_6P-P2.54-V-M-1,,A2541WV-6P,CJT(长江连接器),C225481,LCSC,Connectors,Pin Headers,6
19,2,FH2.54-09-03PZD,"PWR_HDR,PWR_HDR1",HDR-TH_3P-P2.54-V-F,,FH2.54-09-03PZD,XUNPU(讯普),C7500772,LCSC,Connectors,Female Headers,3
20,4,10kΩ,"R1,R2,R9,R10",R0805,10kΩ,RC0805JR-0710KL,YAGEO(国巨),C100047,LCSC,Resistors,Chip Resistor - Surface Mount,2
21,1,0Ω,R3,R0603,0Ω,RC0603JR-070RL,YAGEO(国巨),C95177,LCSC,Resistors,Chip Resistor - Surface Mount,2
22,2,5.1kΩ,"R4,R5",R0805,5.1kΩ,RC0805JR-075K1L,YAGEO(国巨),C105874,LCSC,Resistors,Chip Resistor - Surface Mount,2
23,2,100Ω,"R6,R7",R0805,100Ω,RC0805FR-7W100RL,YAGEO(国巨),C723351,LCSC,Resistors,Chip Resistor - Surface Mount,2
24,1,330Ω,R8,R0805,330Ω,AC0805FR-07330RL,YAGEO(国巨),C144564,LCSC,Resistors,Chip Resistor - Surface Mount,2
25,2,4.7kΩ,"R11,R12",R0603,4.7kΩ,RC0603FR-074K7L,YAGEO(国巨),C99782,LCSC,Resistors,Chip Resistor - Surface Mount,2
26,2,100kΩ,"R13,R14",R0603,100kΩ,AC0603FR-07100KL,YAGEO(国巨),C116674,LCSC,Resistors,Chip Resistor - Surface Mount,2
27,14,100Ω,"R17,R18,R19,R20,R21,R22,R23,R24,R26,R27,R28,R29,R30,R31",R0805,100Ω,RC0805JR-07100RL,YAGEO(国巨),C106949,LCSC,Resistors,Chip Resistor - Surface Mount,2
28,2,TSA010A2518A,"SW1_EN,SW2_IO0",SW-SMD_L4.0-W3.0-LS5.0,,TSA010A2518A,BZCN(博众电气),C2888945,LCSC,Switches,Tactile Switches,2
29,1,U262-161N-4BC21665,USB_C,USB-TYPE-C-SMD_U262-161N-4BC21665,,U262-161N-4BC21665,XKB Connection(中国星坤),C2880653,LCSC,Connectors,USB Connectors,20
